variable,method1_beta,method1_pvalue,method1_r2,method2_beta,method2_pvalue,method2_r2,beta_correlation,direction_consistent
diet_cooked_vegetable_intake,-0.000855488820483643,0.3257744412186784,1.328886863727341e-05,-0.0015722567959135943,0.11492747786914914,3.4199824338054796e-05,0.9253305862975328,True
diet_salad_raw_vegetable_intake,-0.009192001778849455,1.5143759495035063e-32,0.0019402226299047864,-0.010586846637773468,5.787087697457228e-27,0.001589762041601217,0.9253305862975328,True
diet_fresh_fruit_intake,-0.009706744606877291,5.1409776742086185e-17,0.0009667552977478122,-0.009892578809312885,9.765589192469378e-24,0.0013873743053914867,0.9253305862975328,True
diet_dried_fruit_intake,-0.006414768927677139,1.759424068767565e-10,0.0005601942699805518,-0.010555710492663658,2.609321947528385e-13,0.000735756333327009,0.9253305862975328,True
diet_oily_fish_intake,0.011337848235614937,4.458224013562575e-25,0.0014714176570677084,0.005937319453118344,1.0647248347084159e-15,0.0008846043425332351,0.9253305862975328,True
diet_non_oily_fish_intake,0.00705944317810461,1.7580365507355618e-10,0.0005602154746130461,0.004369943087946255,2.822382855580399e-09,0.00048572035486904586,0.9253305862975328,True
diet_processed_meat_intake,-0.019847095883042284,3.7213089936259046e-80,0.0049344751077137206,-0.011335759606155186,7.628486740951651e-54,0.003279347083904205,0.9253305862975328,True
diet_poultry_intake,0.0009988398120054972,0.24042830140768595,1.896506341592108e-05,0.0008494392600161527,0.16417613463829955,2.6633832990063944e-05,0.9253305862975328,True
diet_beef_intake,-4.782568181715434e-05,0.9708523133908571,1.837405483318122e-08,0.0018158857952220787,0.032382440068878346,6.300261953584574e-05,0.9253305862975328,False
diet_lamb_mutton_intake,0.004430513043787138,0.010100858116105973,9.105976043544128e-05,0.0029456798784085847,0.003416594063045093,0.00011794039846280135,0.9253305862975328,True
