,0
10,2
20,1
46,2
52,0
56,0
65,0
69,0
85,1
92,2
93,1
103,1
108,2
112,2
118,0
120,1
122,2
131,0
135,1
151,2
152,0
165,0
200,2
202,1
203,2
208,1
214,1
219,1
225,1
229,2
240,2
241,0
242,0
245,0
266,2
269,1
275,1
280,0
288,2
290,0
305,0
310,0
313,2
359,2
371,2
373,2
377,0
381,1
382,1
388,0
404,0
408,0
417,1
418,0
425,1
458,0
483,1
484,0
486,1
490,0
492,1
495,1
508,2
516,1
531,0
532,0
550,2
552,0
558,2
564,2
570,2
576,1
589,0
601,0
605,0
617,0
619,0
628,2
637,1
646,1
647,0
648,0
670,0
671,0
678,2
686,0
691,0
698,0
705,0
708,2
721,0
727,0
748,0
757,1
790,1
793,1
796,1
803,1
821,0
842,2
847,1
861,0
866,2
872,1
874,0
875,0
881,0
885,2
888,2
889,0
895,2
918,2
925,2
941,1
950,0
957,0
963,2
964,1
970,0
971,0
976,2
985,1
989,0
997,1
1000,0
1015,1
1020,1
1024,1
1030,0
1047,1
1059,0
1062,1
1064,1
1070,2
1075,1
1077,1
1078,0
1080,0
1083,1
1097,0
1100,2
1108,2
1112,0
1113,0
1120,2
1126,0
1133,0
1139,0
1180,0
1182,2
1187,1
1192,2
1202,1
1210,0
1220,1
1221,2
1224,0
1231,1
1259,0
1262,0
1267,1
1269,1
1277,2
1278,2
1288,0
1293,1
1295,0
1296,0
1319,0
1324,0
1330,0
1359,0
1370,0
1379,2
1380,1
1381,0
1383,0
1386,2
1390,0
1399,2
1400,1
1401,0
1406,0
1407,0
1420,0
1430,0
1435,1
1445,1
1446,1
1460,2
1467,1
1468,0
1478,1
1479,0
1482,1
1484,1
1489,0
1493,2
1504,2
1518,0
1523,1
1536,0
1552,1
1558,0
1562,2
1563,1
1564,1
1572,2
1583,2
1600,0
1602,0
1611,2
1640,0
1656,1
1658,1
1663,0
1676,1
1696,1
1697,1
1704,2
1708,1
1711,1
1712,2
1715,1
1725,2
1730,1
1737,0
1739,0
1746,1
1755,1
1772,1
1786,0
1787,0
1801,0
1817,1
1821,1
1829,0
1830,0
1846,0
1860,0
1866,0
1875,0
1880,2
1908,1
1916,2
1920,1
1922,0
1927,2
1940,1
1944,1
1950,2
1955,1
1956,1
1962,1
1974,1
1984,1
1995,1
2005,2
2007,0
2014,0
2018,0
2025,1
2036,1
2045,0
2074,0
2080,1
2082,0
2098,0
2101,2
2129,0
2141,0
2143,0
2145,2
2147,1
2165,0
2193,1
2215,0
2218,0
2219,2
2230,2
2232,0
2235,2
2246,0
2248,2
2256,1
2275,1
2276,1
2279,1
2282,1
2289,1
2291,2
2294,0
2301,1
2310,2
2316,1
2332,2
2341,2
2345,0
2360,0
2372,0
2385,0
2393,0
2395,0
2407,1
2408,0
2409,0
2424,0
2429,1
2433,0
2440,1
2443,1
2445,1
2448,1
2464,1
2474,1
2485,0
2506,0
2537,0
2551,0
2570,0
2572,2
2587,0
2591,1
2595,1
2624,1
2631,2
2643,0
2645,1
2647,1
2657,2
2671,2
2673,0
2690,2
2707,0
2712,2
2718,0
2733,2
2738,1
2743,2
2750,2
2751,1
2753,0
2768,1
2769,0
2779,0
2783,0
2785,0
2786,0
2802,0
2803,0
2804,0
2813,1
2825,2
2832,0
2834,0
2836,0
2842,1
2848,0
2849,0
2852,1
2854,0
2856,1
2861,1
2866,1
2867,2
2868,1
2894,2
2896,1
2901,0
2904,1
2907,2
2908,0
2916,0
2921,0
2939,0
2950,2
2952,0
2953,1
2956,0
2967,2
2969,0
2975,1
2982,0
2989,0
2994,0
2995,0
3001,0
3010,0
3016,0
3019,0
3027,0
3033,0
3053,0
3054,0
3063,0
3066,0
3070,2
3073,0
3092,2
3101,1
3106,1
3108,2
3110,1
3126,2
3127,0
3130,0
3135,0
3138,0
3147,2
3153,2
3163,0
3164,2
3165,0
3171,0
3177,0
3179,1
3192,1
3194,0
3198,1
3200,1
3201,1
3204,1
3205,1
3212,0
3218,0
3227,0
3233,1
3234,1
3238,1
3243,1
3251,0
3252,1
3255,0
3257,1
3273,1
3276,0
3282,2
3287,0
3289,0
3298,0
3305,0
3319,2
3322,1
3339,1
3343,1
3344,0
3355,1
3365,0
3377,0
3385,0
3399,0
3405,2
3423,1
3424,0
3426,0
3440,2
3452,0
3456,1
3468,0
3478,2
3482,1
3501,1
3504,1
3515,0
3520,0
3523,0
3533,1
3539,2
3554,0
3558,0
3559,1
3561,0
3570,2
3577,2
3593,0
3594,1
3597,0
3607,0
3615,0
3619,0
3622,2
3625,0
3628,0
3630,0
3633,0
3637,2
3640,0
3641,0
3643,2
3658,0
3663,0
3667,1
3699,0
3708,0
3709,2
3710,1
3721,0
3727,2
3731,0
3743,1
3745,1
3751,0
