n_clusters,method,silhouette,calinski_harabasz,inertia,bic
2,KMeans,0.3471271545538733,28306.876702337886,130037.6864958716,
2,GMM,0.3211580418406617,25340.924033432322,,-862928.2088547584
3,KMeans,0.3613948485172123,33703.80115786786,86974.93302225042,
3,GMM,0.37007676152634955,30068.73120202536,,-866397.6706880245
4,KMeans,0.3195855965384803,30633.350942064113,72032.40350051929,
4,GMM,0.3099056440536366,26158.48478788071,,-866698.8259096819
5,KMeans,0.32746846607356045,31437.50977759682,58210.54255092621,
5,GMM,0.3205488953551596,29413.480255280727,,-866653.3412990656
6,KMeans,0.3254033204986709,31469.023459827313,49368.107334892506,
6,GMM,0.32489978780324336,30274.191372802758,,-866796.4370832642
