raw_column,output_column,field_id,non_missing,unique_values,display_label,slug,subcategory,subcategory_label
Animal fat spread lower fat,diet_animal_fat_spread_lower_fat_24h,24h_total_weight_by_food_group_yesterday,49936,213,Animal fat spread lower fat,diet_animal_fat_spread_lower_fat_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Animal fat spread normal,diet_animal_fat_spread_normal_24h,24h_total_weight_by_food_group_yesterday,49936,491,Animal fat spread normal,diet_animal_fat_spread_normal_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Added sugars and preserves,diet_added_sugars_and_preserves_24h,24h_total_weight_by_food_group_yesterday,49936,70,Added sugars and preserves,diet_added_sugars_and_preserves_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Allium vegetables,diet_allium_vegetables_24h,24h_total_weight_by_food_group_yesterday,49936,90,Allium vegetables,diet_allium_vegetables_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Beef,diet_beef_24h,24h_total_weight_by_food_group_yesterday,49936,7,Beef,diet_beef_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Beer and cider,diet_beer_and_cider_24h,24h_total_weight_by_food_group_yesterday,49936,8,Beer and cider,diet_beer_and_cider_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Biscuits,diet_biscuits_24h,24h_total_weight_by_food_group_yesterday,49936,72,Biscuits,diet_biscuits_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Breaded/battered chicken,diet_breaded_battered_chicken_24h,24h_total_weight_by_food_group_yesterday,49936,7,Breaded/battered chicken,diet_breaded_battered_chicken_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Breaded/battered fish,diet_breaded_battered_fish_24h,24h_total_weight_by_food_group_yesterday,49936,14,Breaded/battered fish,diet_breaded_battered_fish_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
"Mixed bread (50/50), brown and seeded",diet_mixed_bread_50_50_brown_and_seeded_24h,24h_total_weight_by_food_group_yesterday,49936,126,"Mixed bread (50/50), brown and seeded",diet_mixed_bread_50_50_brown_and_seeded_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Other bread,diet_other_bread_24h,24h_total_weight_by_food_group_yesterday,49936,83,Other bread,diet_other_bread_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
White bread,diet_white_bread_24h,24h_total_weight_by_food_group_yesterday,49936,178,White bread,diet_white_bread_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Wholemeal bread,diet_wholemeal_bread_24h,24h_total_weight_by_food_group_yesterday,49936,123,Wholemeal bread,diet_wholemeal_bread_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Biscuit cereal,diet_biscuit_cereal_24h,24h_total_weight_by_food_group_yesterday,49936,4,Biscuit cereal,diet_biscuit_cereal_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Bran cereal,diet_bran_cereal_24h,24h_total_weight_by_food_group_yesterday,49936,10,Bran cereal,diet_bran_cereal_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Oat cereal (non sugar),diet_oat_cereal_non_sugar_24h,24h_total_weight_by_food_group_yesterday,49936,10,Oat cereal (non sugar),diet_oat_cereal_non_sugar_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Oat cereal (sugar),diet_oat_cereal_sugar_24h,24h_total_weight_by_food_group_yesterday,49936,4,Oat cereal (sugar),diet_oat_cereal_sugar_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
Other cereal (sugar),diet_other_cereal_sugar_24h,24h_total_weight_by_food_group_yesterday,49936,38,Other cereal (sugar),diet_other_cereal_sugar_24h,total_weight_by_food_group_yesterday,Total weight by food group yesterday
