pc,lipid_variable,lipid_display,correlation,p_value,n_obs,type
PC1,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.010374755925344169,0.3032892514110445,9847,Partial (adjusted)
PC1,apolipoprotein_b_g_L,Apolipoprotein B,-0.03681964572643076,0.00012463621518965536,10854,Partial (adjusted)
PC1,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.022070850897185686,0.027964330773545303,9916,Partial (adjusted)
PC1,ldl_cholesterol_mmol_L,LDL cholesterol,-0.037714063371722915,8.16525023184763e-05,10906,Partial (adjusted)
PC1,total_cholesterol_mmol_L,Total cholesterol,-0.03089188948301999,0.0012434805532057524,10921,Partial (adjusted)
PC1,triglycerides_mmol_L_log,log(Triglycerides),-0.022447862553663725,0.018958859168173695,10925,Partial (adjusted)
PC10,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.017505729895999782,0.0823797486891477,9847,Partial (adjusted)
PC10,apolipoprotein_b_g_L,Apolipoprotein B,-0.03922557111051049,4.356301688037067e-05,10854,Partial (adjusted)
PC10,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.02926677512848932,0.0035612594418275097,9916,Partial (adjusted)
PC10,ldl_cholesterol_mmol_L,LDL cholesterol,-0.050449827661590535,1.3544692765096804e-07,10906,Partial (adjusted)
PC10,total_cholesterol_mmol_L,Total cholesterol,-0.04996356451992183,1.7506397242615407e-07,10921,Partial (adjusted)
PC10,triglycerides_mmol_L_log,log(Triglycerides),0.017283403412259157,0.07085016441454252,10925,Partial (adjusted)
PC11,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.007277702446805587,0.4702334756299134,9847,Partial (adjusted)
PC11,apolipoprotein_b_g_L,Apolipoprotein B,0.00030702812863926633,0.9744853809892488,10854,Partial (adjusted)
PC11,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.01973791497369132,0.049364749335031384,9916,Partial (adjusted)
PC11,ldl_cholesterol_mmol_L,LDL cholesterol,0.011546466792633386,0.22792537841769764,10906,Partial (adjusted)
PC11,total_cholesterol_mmol_L,Total cholesterol,0.009625853460088828,0.31449043258714193,10921,Partial (adjusted)
PC11,triglycerides_mmol_L_log,log(Triglycerides),0.0437543637938109,4.762360973040498e-06,10925,Partial (adjusted)
PC12,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.008921830880936002,0.3760289264838088,9847,Partial (adjusted)
PC12,apolipoprotein_b_g_L,Apolipoprotein B,-0.018704791219477136,0.051336216184083225,10854,Partial (adjusted)
PC12,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.013566541676167877,0.17674795561023948,9916,Partial (adjusted)
PC12,ldl_cholesterol_mmol_L,LDL cholesterol,-0.021143554848592844,0.027240570098073572,10906,Partial (adjusted)
PC12,total_cholesterol_mmol_L,Total cholesterol,-0.017095286661688462,0.07402726043597796,10921,Partial (adjusted)
PC12,triglycerides_mmol_L_log,log(Triglycerides),-0.01270277575675506,0.18430024574094508,10925,Partial (adjusted)
PC13,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0023302510251856775,0.8171543433929124,9847,Partial (adjusted)
PC13,apolipoprotein_b_g_L,Apolipoprotein B,-0.0010276781073290963,0.9147462949227422,10854,Partial (adjusted)
