column,imputed_value
diet_cooked_vegetable_intake,3.0
diet_salad_raw_vegetable_intake,2.0
diet_fresh_fruit_intake,2.0
diet_dried_fruit_intake,0.0
diet_oily_fish_intake,3.0
diet_non_oily_fish_intake,4.0
diet_processed_meat_intake,3.0
diet_poultry_intake,3.0
diet_beef_intake,3.0
diet_lamb_mutton_intake,3.0
diet_pork_intake,3.0
diet_age_when_last_ate_meat,27.0
diet_never_eat_eggs_dairy_wheat_sugar,12.0
diet_cheese_intake,1.0
diet_milk_type_used,5.0
diet_spread_type,3.0
diet_non_butter_spread_type_details,4.0
diet_bread_intake,10.0
diet_bread_type,5.0
diet_cereal_intake,5.0
diet_cereal_type,3.0
diet_salt_added_to_food,1.0
diet_tea_intake,3.0
diet_coffee_intake,1.0
diet_coffee_type,3.0
diet_hot_drink_temperature,1.0
diet_water_intake,3.0
diet_major_dietary_changes_in_the_last_5_years,0.0
diet_variation_in_diet,4.0
cov_body_mass_index,26.1228
cov_fasting_time,3.0
cov_alcohol_status,Missing
cov_current_smoking,Missing
