lipid_variable,lipid_label,model_label,r_squared,adj_r_squared,aic,bic,n_obs,n_predictors
triglycerides_mmol_L_log,log(Triglycerides),diet_full,0.23011312813316165,0.22974212385785753,91974.90523598765,92305.87587562262,72666,35
triglycerides_mmol_L_log,log(Triglycerides),diet_lasso_selection,0.23011301534517914,0.2297526161013539,91972.91588151395,92294.69289227018,72666,34
triglycerides_mmol_L_log,log(Triglycerides),diet_pca_15components,0.22960046462252537,0.2293247120939964,92005.27702952467,92253.5050092509,72666,26
total_cholesterol_mmol_L,Total cholesterol,diet_full,0.23896870154825578,0.23860188896895662,194105.07066561858,194436.03387322562,72651,35
total_cholesterol_mmol_L,Total cholesterol,diet_lasso_selection,0.23896870154825578,0.23860188896895662,194105.07066561858,194436.03387322562,72651,35
total_cholesterol_mmol_L,Total cholesterol,diet_pca_15components,0.23815363796252065,0.23788089058681872,194164.83816035266,194413.06056605795,72651,26
hdl_cholesterol_mmol_L_log,log(HDL cholesterol),diet_full,0.4140144393841648,0.41370552423442464,-28757.390101230092,-28429.650639630334,66428,35
hdl_cholesterol_mmol_L_log,log(HDL cholesterol),diet_lasso_selection,0.4140136590979445,0.41373123477519624,-28763.30164714181,-28462.873807342028,66428,32
hdl_cholesterol_mmol_L_log,log(HDL cholesterol),diet_pca_15components,0.41270494453917295,0.412474983071093,-28627.1098714362,-28381.305275236384,66428,26
ldl_cholesterol_mmol_L,LDL cholesterol,diet_full,0.243640580090709,0.24327551659078728,154299.81670192193,154630.73032342727,72551,35
ldl_cholesterol_mmol_L,LDL cholesterol,diet_lasso_selection,0.24363894922561025,0.2432947552479836,154295.97313649932,154608.502667921,72551,33
ldl_cholesterol_mmol_L,LDL cholesterol,diet_pca_15components,0.24289534836466664,0.24262392482290773,154353.26512589495,154601.45034202395,72551,26
apolipoprotein_a_g_L_log,log(Apolipoprotein A),diet_full,0.3405662352619597,0.3402164083284409,-71186.9710659986,-70859.45776038272,66012,35
apolipoprotein_a_g_L_log,log(Apolipoprotein A),diet_lasso_selection,0.34055489514389237,0.3402250626472987,-71189.83588385093,-70880.51776188037,66012,33
apolipoprotein_a_g_L_log,log(Apolipoprotein A),diet_pca_15components,0.33858792845294106,0.33832731295153584,-71007.23097682104,-70761.59599760913,66012,26
apolipoprotein_b_g_L,Apolipoprotein B,diet_full,0.2687890931819795,0.26843492728697915,-31346.376908030652,-31015.58954314429,72297,35
apolipoprotein_b_g_L,Apolipoprotein B,diet_lasso_selection,0.2687890894383431,0.26844504732825625,-31348.376537886215,-31026.777710913364,72297,34
apolipoprotein_b_g_L,Apolipoprotein B,diet_pca_15components,0.2683702210844334,0.26810700848927915,-31322.97363403195,-31074.88311036718,72297,26
