pc,lipid_variable,lipid_display,correlation,p_value,n_obs,type
PC1,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.022521495353597848,7.164296460959777e-09,66012,Partial (adjusted)
PC1,apolipoprotein_b_g_L,Apolipoprotein B,-0.022001421082041527,3.291079483981994e-09,72297,Partial (adjusted)
PC1,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.021238388579204005,4.3895161870203175e-08,66428,Partial (adjusted)
PC1,ldl_cholesterol_mmol_L,LDL cholesterol,-0.030930680971087712,7.873954807157148e-17,72551,Partial (adjusted)
PC1,total_cholesterol_mmol_L,Total cholesterol,-0.032810821999922704,9.070499172739934e-19,72651,Partial (adjusted)
PC1,triglycerides_mmol_L_log,log(Triglycerides),0.004129569951084315,0.26563174678871465,72666,Partial (adjusted)
PC2,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0033235054931155215,0.39316714557831217,66012,Partial (adjusted)
PC2,apolipoprotein_b_g_L,Apolipoprotein B,-0.02861973820471364,1.3957314811894661e-14,72297,Partial (adjusted)
PC2,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.021160543768592815,4.915278473637504e-08,66428,Partial (adjusted)
PC2,ldl_cholesterol_mmol_L,LDL cholesterol,-0.03794067453377323,1.5652641869266222e-24,72551,Partial (adjusted)
PC2,total_cholesterol_mmol_L,Total cholesterol,-0.03417133676866887,3.170682935498685e-20,72651,Partial (adjusted)
PC2,triglycerides_mmol_L_log,log(Triglycerides),-0.053848185959387965,8.298812630890762e-48,72666,Partial (adjusted)
PC3,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.040174201799997165,5.383955278754895e-25,66012,Partial (adjusted)
PC3,apolipoprotein_b_g_L,Apolipoprotein B,-0.039029302896295706,8.817657717208261e-26,72297,Partial (adjusted)
PC3,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.039027469121799385,8.096671939870362e-24,66428,Partial (adjusted)
PC3,ldl_cholesterol_mmol_L,LDL cholesterol,-0.04166945119364288,2.9554553426871993e-29,72551,Partial (adjusted)
PC3,total_cholesterol_mmol_L,Total cholesterol,-0.049714103082756,5.433844434116838e-41,72651,Partial (adjusted)
PC3,triglycerides_mmol_L_log,log(Triglycerides),-0.00023216103304749474,0.9500995868171939,72666,Partial (adjusted)
PC4,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0072279222616666375,0.06330478913932573,66012,Partial (adjusted)
PC4,apolipoprotein_b_g_L,Apolipoprotein B,0.016567771045379275,8.389796396734958e-06,72297,Partial (adjusted)
PC4,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.005972201751563092,0.1237462187607209,66428,Partial (adjusted)
PC4,ldl_cholesterol_mmol_L,LDL cholesterol,0.02999586747783136,6.415684709109205e-16,72551,Partial (adjusted)
PC4,total_cholesterol_mmol_L,Total cholesterol,0.028076300246100118,3.760923532459664e-14,72651,Partial (adjusted)
